Usage,Temp,Hour
0.303,56,9
0.121,56,10
0.107,56,11
0.327,56,12
0.379,56,13
0.108,56,14
0.325,56,15
0.123,56,16
2.192,56,17
0.164,56,18
0.418,56,19
0.125,56,20
0.334,56,21
0.108,56,22
0.457,56,23
0.694,57,0
2.261,57,1
1.768,57,2
2.242,57,3
0.738,57,4
0.128,57,5
0.119,57,6
0.309,57,7
0.109,57,8
0.229,57,9
0.145,57,10
0.363,57,11
1.962,57,12
0.107,57,13
0.489,57,14
0.112,57,15
0.107,57,16
0.401,57,17
0.125,57,18
0.11,57,19
0.107,57,20
0.37,57,21
0.124,57,22
0.113,57,23
0.108,67,0
0.375,67,1
0.363,67,2
0.52,67,3
1.943,67,4
1.363,67,5
0.121,67,6
0.356,67,7
0.108,67,8
0.109,67,9
0.116,67,10
0.122,67,11
0.353,67,12
1.746,67,13
0.115,67,14
0.424,67,15
0.108,67,16
0.221,67,17
0.308,67,18
0.127,67,19
0.246,67,20
0.207,67,21
0.504,67,22
0.248,67,23
0.55,73,0
0.942,73,1
2.38,73,2
1.1,73,3
0.256,73,4
0.44,73,5
0.181,73,6
0.39,73,7
0.127,73,8
0.111,73,9
0.111,73,10
0.358,73,11
0.096,73,12
0.393,73,13
0.121,73,14
0.417,73,15
0.563,73,16
3.593,73,17
0.11,73,18
0.529,73,19
0.12,73,20
0.115,73,21
0.381,73,22
0.111,73,23
0.11,66,0
0.11,66,1
0.357,66,2
0.657,66,3
0.264,66,4
0.463,66,5
0.477,66,6
0.124,66,7
0.347,66,8
0.111,66,9
0.667,66,10
0.118,66,11
0.107,66,12
0.45,66,13
0.144,66,14
0.121,66,15
0.123,66,16
0.336,66,17
0.107,66,18
0.108,66,19
0.107,66,20
0.115,66,21
0.355,66,22
0.113,66,23
0.107,65,0
0.107,65,1
0.107,65,2
0.376,65,3
0.103,65,4
0.118,65,5
0.113,65,6
0.107,65,7
0.108,65,8
0.363,65,9
0.108,65,10
0.11,65,11
0.116,65,12
0.116,65,13
0.368,65,14
0.106,65,15
0.106,65,16
0.106,65,17
0.107,65,18
0.109,65,19
0.419,65,20
0.116,65,21
0.112,65,22
0.107,65,23
0.107,67,0
0.107,67,1
0.417,67,2
0.107,67,3
0.217,67,4
0.124,67,5
0.116,67,6
0.125,67,7
0.115,67,8
0.107,67,9
0.427,67,10
0.107,67,11
0.106,67,12
0.114,67,13
0.119,67,14
0.286,67,15
0.315,67,16
0.106,67,17
0.107,67,18
0.107,67,19
0.11,67,20
0.119,67,21
0.117,67,22
0.108,67,23
0.108,72,0
0.477,72,1
0.108,72,2
0.107,72,3
0.087,72,4
0.118,72,5
0.118,72,6
0.495,72,7
0.108,72,8
0.108,72,9
0.107,72,10
0.108,72,11
0.109,72,12
0.117,72,13
0.118,72,14
0.449,72,15
0.107,72,16
0.107,72,17
0.108,72,18
0.203,72,19
0.162,72,20
0.116,72,21
0.114,72,22
0.501,72,23
0.115,79,0
0.108,79,1
1.316,79,2
0.915,79,3
0.228,79,4
0.144,79,5
0.358,79,6
0.114,79,7
0.118,79,8
0.115,79,9
0.405,79,10
0.107,79,11
0.453,79,12
0.368,79,13
0.107,79,14
0.107,79,15
0.112,79,16
0.118,79,17
0.352,79,18
0.11,79,19
0.107,79,20
0.109,79,21
0.107,79,22
0.432,79,23
0.799,69,0
1.101,69,1
0.53,69,2
0.471,69,3
1.55,69,4
2.757,69,5
0.566,69,6
1.506,69,7
0.117,69,8
0.192,69,9
0.364,69,10
0.154,69,11
0.48,69,12
0.144,69,13
0.396,69,14
0.184,69,15
0.262,69,16
0.447,69,17
0.216,69,18
0.114,69,19
2.948,69,20
1.24,69,21
0.201,69,22
0.484,69,23
0.121,63,0
0.12,63,1
0.668,63,2
0.837,63,3
0.336,63,4
0.633,63,5
0.153,63,6
0.127,63,7
0.393,63,8
0.111,63,9
0.228,63,10
0.168,63,11
0.113,63,12
1.884,63,13
0.122,63,14
0.509,63,15
